samplename	At_percent	Ps_percent	At_cov_prop	At_depth	Ps_cov_prop	Ps_depth	group	type	source	year	country
PL0001	0.61	0.03394	0.876094	8.76009	0.911512	4.62325	ATUE5	Plant tissue herbarium	PL	1966	Spain
PL0026	0.5	0.01012	0.898621	12.0068	0.726993	1.60144	ATUE5	Plant tissue herbarium	PL	2002	Sweden
PL0059	0.121	0.36115	0.871411	6.84818	0.933148	138.268	ATUE5	Plant tissue herbarium	PL	1985	Spain
PL0073	0.563	0.02439	0.88145	8.12686	0.837162	2.85822	ATUE5	Plant tissue herbarium	PL	1991	Spain
PL0102	0.256	0.08611	0.895922	7.45867	0.955767	31.3478	ATUE5	Plant tissue herbarium	PL	1888	Germany
PL0108	0.196	0.01089	0.897433	9.04577	0.809302	5.07064	nonATUE5	Plant tissue herbarium	PL	1946	Sweden
PL0131	0.18	0.11808	0.877034	6.54823	0.931405	53.4061	ATUE5	Plant tissue herbarium	PL	1980	Spain
PL0139	0.139	0.00559	0.791067	2.36283	0.713336	1.53818	ATUE5	Plant tissue herbarium	PL	1996	Sweden
PL0185	0.432	0.01071	0.890624	8.34564	0.82209	2.73977	ATUE5	Plant tissue herbarium	PL	1994	Germany
PL0203	0.548	0.01133	0.884923	8.05528	0.728028	1.71379	nonATUE5	Plant tissue herbarium	PL	1880	United Kingdom
PL0210	0.303	0.0536	0.849577	4.18344	0.878278	10.4488	ATUE5	Plant tissue herbarium	PL	1838	United Kingdom
PL0220	0.486	0.1647	0.884688	5.83634	0.898094	18.5919	ATUE5	Plant tissue herbarium	PL	1946	United Kingdom
PL0222	0.421	0.00631	0.891197	8.55333	0.652808	1.24438	ATUE5	Plant tissue herbarium	PL	1887	United Kingdom
PL0224	0.202	0.01728	0.890107	6.40007	0.935154	7.07906	ATUE5	Plant tissue herbarium	PL	1889	United Kingdom
PL0230	0.573	0.01731	0.903246	8.68465	0.790335	2.03632	ATUE5	Plant tissue herbarium	PL	1851	United Kingdom
PL0235	0.403	0.06616	0.863924	4.53816	0.923103	8.63398	ATUE5	Plant tissue herbarium	PL	1905	United Kingdom
PL0240	0.667	0.06142	0.889652	7.57326	0.850866	7.45621	ATUE5	Plant tissue herbarium	PL	1875	United Kingdom
PL0258	0.499	0.02354	0.88394	6.42256	0.836729	2.80434	nonATUE5	Plant tissue herbarium	PL	1913	United Kingdom
PL0027	0.483	0.00652	0.897858	8.84702	0.661964	1.28372	ATUE5	Plant tissue herbarium	PL	1939	Sweden
PL0042	0.282	0.21576	0.886184	8.48786	0.942482	76.6242	ATUE5	Plant tissue herbarium	PL	1982	Spain
PL0046	0.49	0.08517	0.889267	12.1704	0.901586	19.6711	ATUE5	Plant tissue herbarium	PL	1974	Spain
PL0051	0.015	0.05023	0.20731	0.260978	0.90387	18.5792	ATUE5	Plant tissue herbarium	PL	1983	Spain
PL0053	0.077	0.02937	0.64015	1.30365	0.946089	11.8482	ATUE5	Plant tissue herbarium	PL	1987	Spain
PL0065	0.399	0.0035	0.886081	12.3463	0.69257	1.37152	ATUE5	Plant tissue herbarium	PL	2015	Spain
PL0066	0.434	0.00588	0.894891	14.3205	0.709083	1.65637	nonATUE5	Plant tissue herbarium	PL	2015	Spain
PL0068	0.172	0.01276	0.892806	8.42695	0.922904	12.7222	ATUE5	Plant tissue herbarium	PL	1986	Spain
PL0080	0.019	0.04355	0.397642	0.582335	0.949344	29.9207	ATUE5	Plant tissue herbarium	PL	1985	Spain
PL0127	0.091	0.05133	0.452178	0.678258	0.936327	8.71953	ATUE5	Plant tissue herbarium	PL	1979	Spain
PL0137	0.013	0.37113	0.018869	0.0200714	0.897737	16.8099	ATUE5	Plant tissue herbarium	PL	1961	Sweden
27.ESP_1975	0.055	0.00768	0.0691718	0.583975	0.704073	1.50857	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1975	Spain
30.ESP_1983b	0.047	0.00534	0.44906	0.753457	0.704352	1.49611	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1983	Spain
33.ESP_1985b	0.008	0.07954	0.063491	0.143361	0.896327	10.5273	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1985	Spain
34.ESP_1985c_S36	0.211	0.21689	0.542012	1.81344	0.870383	13.2233	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1985	Spain
64.GBR_1933b_S36	0.396	0.09096	0.727762	1.85714	0.843602	4.84464	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1933	UK
75.LTU_1894_S30	0.402	0.05704	0.860862	3.10797	0.880468	5.15566	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1894	Lithuania
76.LTU_2009_S19	0.002	0.24224	0.0324187	0.035727	0.871785	43.4261	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	2009	Lithuania
86.NOR_1911_S7	0.316	0.00842	0.82644	3.52102	0.632328	1.19619	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1911	Norway
109.NOR_1990	0.048	0.11982	0.298828	0.41985	0.91254	21.2222	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1990	Norway
120.RUS_1860	0.181	0.03585	0.676137	1.57914	0.874103	4.87913	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1860	Russia
HB0737	0.408	0.0674	0.881474	4.5237	0.905585	9.59377	ATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1937	Germany
HB0766	0.489	0.05669	0.883069	5.87102	0.885096	8.274	ATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1846	Germany
HB0814	0.192	0.02283	0.885082	5.04505	0.93942	9.06438	ATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1882	Germany
HB0828	0.391	0.00875	0.894722	6.34349	0.739165	1.7903	nonATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1890	Germany
HB0840	0.497	0.01476	0.894477	6.0891	0.76702	1.80811	ATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1851	Germany
HB0841	0.494	0.0142	0.892077	5.67523	0.736065	1.62028	ATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1875	Germany
HB0863	0.232	0.0071	0.768781	3.05277	0.654052	1.55677	nonATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1954	Somalia
