SAMPLE	TYPE	YEAR	COUNTRY	At_percent	At_covered	At_depth	Ps_percent	Ps_covered	Ps_depth	source
PL0001	Plant tissue herbarium	1966	Spain	0.61	0.87609	8.76009	0.01323	0.91162	4.62383	This study
PL0026	Plant tissue herbarium	2002	Sweden	0.5	0.89862	12.0068	0.00506	0.72721	1.60193	This study
PL0059	Plant tissue herbarium	1985	Spain	0.121	0.87141	6.84818	0.31731	0.93333	138.295	This study
PL0073	Plant tissue herbarium	1991	Spain	0.563	0.88145	8.12686	0.01063	0.83728	2.85851	This study
PL0087	Plant tissue herbarium	NA	Spain	0.44	0.88464	8.3713	0.00339	0.62676	1.15478	This study
PL0102	Plant tissue herbarium	1888	Germany	0.256	0.89592	7.45867	0.064	0.95596	31.3541	This study
PL0105	Plant tissue herbarium	1920	Sweden	0.519	0.89425	8.59994	0.00481	0.64746	1.19464	This study
PL0108	Plant tissue herbarium	1946	Sweden	0.196	0.89743	9.04577	0.00875	0.80948	5.07113	This study
PL0131	Plant tissue herbarium	1980	Spain	0.18	0.87703	6.54823	0.09681	0.93165	53.4178	This study
PL0139	Plant tissue herbarium	1996	Sweden	0.139	0.79106	2.36283	0.00481	0.71335	1.53823	This study
PL0185	Plant tissue herbarium	1994	Germany	0.432	0.89062	8.34564	0.00608	0.82221	2.74042	This study
PL0203	Plant tissue herbarium	1880	United Kingdom	0.548	0.88492	8.05528	0.00511	0.72815	1.71403	This study
PL0210	Plant tissue herbarium	1838	United Kingdom	0.303	0.84957	4.18344	0.03732	0.87842	10.4499	This study
PL0220	Plant tissue herbarium	1946	United Kingdom	0.486	0.88468	5.83634	0.08451	0.89824	18.5956	This study
PL0222	Plant tissue herbarium	1887	United Kingdom	0.421	0.89119	8.55333	0.00365	0.65296	1.24471	This study
PL0224	Plant tissue herbarium	1889	United Kingdom	0.202	0.8901	6.40007	0.01377	0.93532	7.08008	This study
PL0230	Plant tissue herbarium	1851	United Kingdom	0.573	0.90324	8.68465	0.00738	0.79049	2.03664	This study
PL0235	Plant tissue herbarium	1905	United Kingdom	0.403	0.86392	4.53816	0.03945	0.92324	8.63502	This study
PL0240	Plant tissue herbarium	1875	United Kingdom	0.667	0.88965	7.57326	0.02041	0.85094	7.45682	This study
PL0258	Plant tissue herbarium	1913	United Kingdom	0.499	0.88393	6.42256	0.01177	0.83684	2.80448	This study
PL0027	Plant tissue herbarium	1939	Sweden	0.483	0.89785	8.8469	0.00337	0.66196	1.2838	This study
PL0042	Plant tissue herbarium	1982	Spain	0.282	0.88618	8.48798	0.1549	0.94256	76.6376	This study
PL0046	Plant tissue herbarium	1974	Spain	0.49	0.88928	12.1704	0.04341	0.90174	19.6737	This study
PL0051	Plant tissue herbarium	1983	Spain	0.015	0.20731	0.260981	0.04947	0.90404	18.5829	This study
PL0053	Plant tissue herbarium	1987	Spain	0.077	0.64014	1.30363	0.02709	0.94623	11.8498	This study
PL0065	Plant tissue herbarium	2015	Spain	0.399	0.88608	12.3462	0.0021	0.69269	1.37169	This study
